 LONGITUDE, LATITUDE, WELL_DEPTH, STATIC_DEPTH
-100.470635,37.776168,220,151
-100.545958,37.619587,220,130
-100.429842,37.628753,220,122
-100.447774,37.800016,220,57
-100.528767,37.762422,220,76
-100.529969,37.754199,220,79
-100.488965,37.738014,222,96
-100.555321,37.590366,223,123
-100.396176,37.48281,223,88
-100.464908,37.7917,223,80
-100.427347,37.790925,224,46
-100.438681,37.800127,224,49
-100.447964,37.749095,224,70
-100.447527,37.828583,225,47
-100.659036,37.853173,225,31
-100.310673,37.660937,225,147
-100.475286,37.740819,225,167
-100.315679,37.761874,225,140
-100.450467,37.826604,225,87
-100.641926,37.846781,226,35
-100.586167,37.83288,226,47
-100.373803,37.784511,227,43
-100.34288,37.77635,227,34
-100.518359,37.776114,228,65
-100.284058,37.749029,229,49
-100.50053,37.732532,229,73
-100.3708,37.7625,229,146
-100.480956,37.95505,230,122
-100.599812,37.836577,230,68
-100.315741,37.785534,230,37
-100.329291,37.776432,230,36
-100.240528,37.710717,230,144
-100.36487,37.697267,230,111
-100.530046,37.726999,230,71
-100.536846,37.703311,230,69
-100.571027,37.728607,230,138
-100.31911,37.77737,230,67
-100.3933,37.747267,230,162
-100.419426,37.791761,230,98
-100.547981,37.761427,230,79
-100.564083,37.741261,230,69
-100.586089,37.838234,231,30
-100.41953,37.748195,231,65
-100.229213,37.710668,231,151
-100.555028,37.732257,231,145
-100.643037,37.840473,231,29
-100.455916,37.769847,231,80
-100.384079,37.785411,232,12
-100.420584,37.785386,232,55
-100.354389,37.776335,232,83
-100.548031,37.755972,232,77
-100.232783,37.853204,233,116
-100.419442,37.762622,233,67
-100.2634,37.708978,233,139
-100.237226,37.697086,233,136
-100.292508,37.668192,234,154
-100.46276,37.738134,234,160
-100.558986,37.981739,235,110
-100.562496,37.962709,235,143
-100.392102,37.740895,235,80
-100.377313,37.714561,235,88
-100.40036,37.661575,235,114
-100.457053,37.694064,235,126
-100.26839,37.65816,235,205
-100.284001,37.741716,235,124
-100.637848,37.761963,235,85
-100.501393,37.823401,235,67
-100.500071,37.805241,235,54
-100.420751,37.710806,236,68
-100.545208,37.822421,236,70
-100.456894,37.79994,236,53
-100.318464,37.661853,237,155
-100.60642,37.84004,237,90
-100.55638,37.76277,237,174
-100.54699,37.740464,237,65
-100.528964,37.704229,238,77
-100.47181,37.962208,240,111
-100.577341,37.961922,240,119
-100.624825,37.847594,240,29
-100.260054,37.753502,240,66
-100.293094,37.756346,240,48
-100.311141,37.741787,240,105
-100.383068,37.754512,240,100
-100.252035,37.690739,240,135
-100.374041,37.682657,240,122
-100.375306,37.661642,240,137
-100.518739,37.69775,240,79
-100.45259,37.661478,240,114
-100.623526,37.535736,240,160
-100.577926,37.523036,240,135
-100.57794,37.517581,240,145
-100.55511,37.495692,240,150
-100.392096,37.733627,240,121
-100.555028,37.732257,240,146.5
-100.632598,37.604761,240,171
-100.32027,37.74726,240,108
-100.58302,37.96654,240,164
-100.441123,37.666957,240,152
-100.650837,37.579371,240,170
-100.566684,37.575773,240,126
-100.641285,37.984174,241,137
-100.528913,37.733342,241,91
-100.427413,37.747295,242,75
-100.418525,37.718129,242,101
-100.352124,37.772662,242,118
-100.407251,37.648786,242,136
-100.48217,37.654119,243,106
-100.284001,37.741716,243,102
-100.284001,37.741716,243,97
-100.32292,37.80529,243,
-100.577595,37.766781,243,101
-100.431892,37.708931,244,190
-100.256783,37.770809,245,61.5
-100.401416,37.704501,245,160
-100.443399,37.672429,245,71
-100.51615,37.810939,245,121
-100.624085,37.97415,245,153
-100.39444,37.76266,245,131
-100.50352,37.96056,245,132
-100.284117,37.756312,245,96
-100.57933,37.810995,245,72
-100.556069,37.747727,245,86
-100.455724,37.806309,245,50
-100.40123,37.77904,246,49
-100.24993,37.852367,246,117
-100.535441,37.771526,246,50
-100.217887,37.763296,247,91
-100.299742,37.756373,247,47
-100.23727,37.68983,247,172
-100.438717,37.790938,247,70
-100.308737,37.756393,248,67
-100.400347,37.668881,248,104
-100.52873,37.928008,249,116
-100.438763,37.697918,249,92
-100.548096,37.746855,249,66
-100.42213,37.929569,250,116
-100.423263,37.932281,250,150
-100.521957,37.926154,250,115
-100.608158,37.959501,250,142
-100.256719,37.761704,250,32
-100.336449,37.669119,250,166
-100.528928,37.718845,250,85
-100.438792,37.718105,250,82
-100.638501,37.851233,250,52
-100.447915,37.734504,250,146
-100.468517,37.675921,250,150
-100.642965,37.831382,250,109
-100.419426,37.791761,250,113
-100.500041,37.772432,250,164
-100.60811,37.966757,250,168
-100.399409,37.907816,251,128
-100.299818,37.76184,252,56
-100.419615,37.698912,252,
-100.618732,37.741022,252,117
-100.419,37.7708,252,158
-100.434274,37.634198,252,142
-100.565199,37.748586,252,76
-100.31222,37.74635,253,136
-100.293151,37.761803,254,67
-100.365965,37.718236,254,56
-100.632645,37.679359,254,172
-100.30989,37.74818,254,138
-100.552606,37.754133,254,172
-100.650369,37.977073,255,150
-100.482188,37.725249,255,159.5
-100.571157,37.708782,255,82
-100.221514,37.48884,255,120
-100.308809,37.761872,255,100
-100.284026,37.728991,255,131
-100.464897,37.80624,255,78
-100.537764,37.931714,256,132
-100.281711,37.741711,256,71
-100.365835,37.776332,256,63
-100.445649,37.727226,256,100
-100.304257,37.743613,256,130
-100.612768,37.95049,257,140
-100.277178,37.749003,258,47
-100.528608,37.814372,258,75
-100.438759,37.785453,258,63
-100.510582,37.920717,260,122
-100.337268,37.821875,260,120
-100.325989,37.746343,260,
-100.552829,37.72149,260,91
-100.530083,37.710663,260,146
-100.565365,37.725946,260,142
-100.418511,37.705323,260,120
-100.495555,37.774265,260,124
-100.504578,37.781495,260,149
-100.483151,37.773405,260,156
-100.287366,37.477771,260,133
-100.577957,37.590344,260,118
-100.564411,37.579432,260,102
-100.583746,37.572966,260,80
-100.49164,37.594023,260,110
-100.574369,37.734841,260,173
-100.646647,37.823938,260,80
-100.472914,37.77071,260,63
-100.386526,37.699985,261,54
-100.556018,37.755026,261,76
-100.579052,37.875203,262,120
-100.336548,37.654495,262,182
-100.582529,37.715994,262,111
-100.41852,37.67794,262,150
-100.555955,37.762293,262,76
-100.42737,37.785447,263,69
-100.328833,37.848021,264,145
-100.380051,37.627092,264,148
-100.552443,37.772318,264,61
-100.431215,37.934983,265,146
-100.619568,37.95962,265,155
-100.392282,37.689938,265,71
-100.538041,37.485662,265,162
-100.337209,37.777301,265,113
-100.548225,37.725102,265,147
-100.568913,37.570324,265,120
-100.420749,37.72724,265,184
-100.628335,37.823917,265,55
-100.562747,37.767709,265,93
-100.553862,37.734957,265,195
-100.51153,37.807058,265,97
-100.628688,37.966957,266,153
-100.402561,37.703581,266,79
-100.552307,37.78692,266,112
-100.50005,37.78333,266,163
-100.249905,37.81307,267,140
-100.337629,37.660863,267,187
-100.577455,37.775743,267,105
-100.517383,37.915315,268,214
-100.508334,37.915321,268,136
-100.566633,37.688537,268,157
-100.47238,37.94646,268,142
-100.443337,37.714434,268,148
-100.503708,37.926101,270,112
-100.574216,37.93209,270,150
-100.51989,37.704243,270,114
-100.509579,37.695915,270,121
-100.574652,37.682198,270,99
-100.641679,37.662855,270,120
-100.532338,37.695893,270,141
-100.51031,37.798848,270,119
-100.540251,37.680647,270,206
-100.596235,37.572098,270,80
-100.59303,37.813265,270,81
-100.417403,37.67521,270,182
-100.463744,37.79627,270,55
-100.457071,37.77621,270,78
-100.402553,37.698102,271,83
-100.610266,37.791273,272,131
-100.546413,37.806161,272,151
-100.583925,37.807044,272,160
-100.438801,37.776294,272,78
-100.459603,37.930496,273,157
-100.458472,37.92958,273,144
-100.658303,37.963561,273,141
-100.367671,37.868001,273,127
-100.583235,37.76946,273,120
-100.587178,37.701351,273,149
-100.573842,37.79138,274,67
-100.501658,37.674916,275,77
-100.36592,37.74,275,149
-100.48887,37.76524,275,156
-100.64251,37.963454,276,154
-100.335769,37.837178,276,
-100.31795,37.75639,276,105
-100.245552,37.652713,277,152
-100.529002,37.485674,277,152
-100.483384,37.920668,277,150
-100.636811,37.748201,277,147
-100.417813,37.893364,278,144
-100.485585,37.927852,280,139
-100.483641,37.900909,280,140
-100.486769,37.710737,280,95
-100.596331,37.703171,280,127
-100.623596,37.693996,280,147
-100.637165,37.672,280,150
-100.632686,37.639226,280,145
-100.235176,37.479736,280,62
-100.434235,37.677957,280,125
-100.63885,37.777469,280,146
-100.591009,37.784797,280,151
-100.548178,37.7323,280,73
-100.63864,37.815599,280,133
-100.42859,37.689783,280,93
-100.445034,37.897946,281,141
-100.318045,37.819703,282,160
-100.492921,37.879347,282,143
-100.53191,37.78887,282,146
-100.420138,37.886256,283,145
-100.592954,37.693964,283,95
-100.521195,37.564995,283,121
-100.457054,37.703354,284,59
-100.605088,37.918714,285,147
-100.433741,37.842878,285,148
-100.574313,37.908513,285,153
-100.647402,37.909098,285,143
-100.438414,37.877277,286,176
-100.493619,37.688594,286,74
-100.317617,37.82811,286,183
-100.53971,37.79555,286,180
-100.597084,37.912348,287,155
-100.329008,37.828123,287,151
-100.408769,37.884413,287,192
-100.575489,37.739363,288,146
-100.538156,37.594947,288,141
-100.619205,37.823869,288,50
-100.518859,37.674081,289,84
-100.348003,37.64352,289,200
-100.645079,37.934464,290,154
-100.654092,37.929093,290,181
-100.61426,37.918787,290,160
-100.483894,37.877456,290,142
-100.605121,37.91151,290,175
-100.599464,37.897994,290,170
-100.438763,37.697918,290,85
-100.475375,37.703338,290,72
-100.484548,37.479279,290,127
-100.483819,37.882921,290,148
-100.607665,37.621088,290,180
-100.523314,37.708848,290,130
-100.546923,37.908325,290,167
-100.473067,37.684973,290,149.5
-100.548253,37.666897,290,165
-100.639471,37.693856,291,176
-100.36649,37.579679,291,61
-100.438338,37.846534,292,140
-100.463101,37.913412,292,138
-100.521104,37.681417,292,
-100.50685,37.794273,292,129
-100.4902,37.67038,292,151
-100.610951,37.587571,292,100
-100.476773,37.906265,293,165
-100.588966,37.764966,293,95
-100.636414,37.801361,294,63
-100.577324,37.784866,294,64
-100.474511,37.906252,295,182
-100.60667,37.833038,295,71
-100.539097,37.703313,295,134.5
-100.501583,37.682211,295,136
-100.41782,37.89336,295,175
-100.486036,37.886557,295,
-100.295977,37.649174,295,178
-100.4468,37.784475,295,79
-100.342975,37.811151,296,104
-100.497728,37.794289,296,146
-100.43994,37.72436,296,150
-100.625871,37.693985,297,145
-100.395073,37.497308,297,115
-100.650746,37.695491,297,172
-100.559607,37.643216,297,141
-100.476907,37.895478,298,165
-100.569804,37.894081,298,120
-100.483358,37.70429,298,86
-100.582251,37.757633,298,148
-100.621297,37.621065,299,217
-100.60099,37.81442,299,140
-100.429396,37.87006,300,151
-100.475401,37.717951,300,94
-100.479926,37.696857,300,110
-100.474211,37.696851,300,113
-100.537968,37.69868,300,108
-100.543661,37.670597,300,123
-100.632624,37.664739,300,183
-100.583632,37.536653,300,140
-100.59281,37.507542,300,140
-100.592776,37.51482,300,140
-100.484499,37.686785,300,121
-100.548254,37.659573,300,179.5
-100.618301,37.782917,300,134
-100.422983,37.687051,300,144
-100.65036,37.7794,300,159
-100.57791,37.563954,300,165
-100.624889,37.834951,301,32
-100.620326,37.815587,302,117
-100.640668,37.916282,303,110
-100.4754,37.477448,303,97
-100.314027,37.658216,303,210
-100.55055,37.685051,303,210
-100.436522,37.677944,305,84
-100.591806,37.686699,305,
-100.5651,37.91747,305,195
-100.625198,37.773862,308,140
-100.254693,37.650906,309,166
-100.544779,37.702382,310,128
-100.615912,37.794051,310,130
-100.518759,37.688605,310,155
-100.632697,37.693951,310,175
-100.505144,37.597684,310,179
-100.36912,37.65746,310,214
-100.458814,37.886389,311,174
-100.62507,37.788463,311,158
-100.460759,37.9296,312,156
-100.55927,37.77226,315,148
-100.610958,37.580302,315,115
-100.436506,37.688832,316,126
-100.562067,37.566743,316,84
-100.45414,37.9007,317,180
-100.467882,37.891814,318,142
-100.324675,37.819711,318,144
-100.482191,37.668605,319,78
-100.489343,37.894638,320,135
-100.521246,37.652277,320,80
-100.30772,37.483108,320,110
-100.529002,37.485674,320,152
-100.620648,37.77568,320,132
-100.60218,37.805117,320,172
-100.641726,37.693819,321,176
-100.538145,37.522096,324,95
-100.566359,37.743079,324,133
-100.52327,37.532029,325,85
